Year,Quarter,Period of coverage,Person level weight used,Breakdown,Level,Employment rate of people with long-term conditions,Employment rate of population ,Indicator value,Long-term condition numerator,Long-term condition denominator,Population numerator,Population denominator
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Essex,60.3,73.9,13.6,153100,253800,633700,857800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Gateshead,47.4,74.2,26.8,20700,43800,95400,128600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Gloucestershire,67.9,76.9,9,78900,116300,283600,368800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Greenwich,41.9,62.3,20.3,20200,48200,90600,145500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Hackney,52,69.2,17.2,16300,31400,118800,171700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Halton UA,47.1,70.2,23.1,8400,17700,53300,75900
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Hammersmith and Fulham,77.9,85.2,7.3,17100,21900,105800,124300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Hampshire,71.8,81.2,9.4,158100,220400,673800,830200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Haringey,47.1,65.4,18.3,20900,44400,103900,158900
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Harrow,55,71.1,16.1,14200,25800,109900,154600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Hartlepool UA,48.3,51.4,3.1,15200,31500,32500,63300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Havering,65.9,74.7,8.8,35600,54000,112800,151000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Hertfordshire,70.3,78.9,8.6,132500,188500,577900,732900
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Hillingdon,60.6,70.9,10.2,23400,38600,138700,195700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Hounslow,67,77.5,10.5,23800,35500,129300,167000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Isle of Wight,49.8,67,17.2,13300,26700,62700,93600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Islington,51.5,69.3,17.8,19100,37100,117400,169300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Kensington and Chelsea,49,64.4,15.4,12100,24800,66800,103600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Kent,61.3,72.7,11.4,175100,285600,650800,894900
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Kingston upon Thames,57.5,73.3,15.7,14400,25000,91000,124200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Kirklees,47.7,66.2,18.5,37900,79300,163100,246500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Knowsley,43.8,70,26.3,13300,30400,68300,97500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Lambeth,61.3,78.8,17.5,31300,51100,161800,205300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Lancashire,53.5,69,15.5,126500,236300,504900,731300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Leeds,55.8,70,14.2,93600,167700,391400,558800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Leicester UA,61.6,62.6,1.1,34400,55800,130800,208800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Leicestershire,61.5,76.3,14.8,69900,113700,304500,398800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Lewisham,64.9,75.4,10.4,25100,38600,132000,175200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Lincolnshire,59.5,74.5,15.1,87600,147400,340600,457100
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Liverpool,37.7,62.2,24.5,36400,96700,181500,291800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Luton UA,70.7,71.4,0.7,23700,33500,98500,137900
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Manchester,42,63.2,21.2,47500,113100,231700,366700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Medway UA,58.1,72.3,14.2,27800,47800,105500,146000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Merton,70.1,73,2.8,17600,25100,105300,144300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Middlesbrough UA,36.3,65.1,28.8,9800,26900,63300,97300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Milton Keynes,59.4,76.1,16.7,24300,40900,130600,171700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Newcastle upon Tyne,49.1,62.3,13.2,31100,63300,134400,215700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Newham,57.5,64.4,6.9,15700,27300,105400,163600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Norfolk,57.6,73.4,15.8,89200,154800,399700,544500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,North East Lincolnshire UA,51.4,71.5,20.1,12300,24000,64900,90800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,North Lincolnshire UA,60.9,72.4,11.6,22200,36400,76600,105800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,North Somerset UA,65.7,76.1,10.4,26300,40100,101500,133300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,North Tyneside,62,73.1,11.1,27800,44800,89200,122000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,North Yorkshire,66.9,76.2,9.3,74500,111500,274300,359900
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Northamptonshire,64.7,77.6,12.9,83400,128900,348500,449000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Northumberland,66.1,77.8,11.7,38000,57500,143500,184600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Nottingham UA,37.1,54.7,17.6,22100,59600,107300,196100
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Nottinghamshire,59.4,71.1,11.7,95800,161300,352200,495200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Oldham,52.8,64.9,12.1,18500,35100,88700,136700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Oxfordshire,59.6,75.8,16.1,58000,97300,320200,422500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Peterborough UA,67.7,75.7,8,21500,31800,83700,110500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Plymouth UA,49,63.5,14.5,34100,69500,107800,169900
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Poole UA,78.1,79.7,1.6,15300,19600,68000,85400
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Portsmouth,58.7,64.5,5.8,27600,47000,89800,139200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Reading,67,77.5,10.6,13600,20300,89700,115600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Redbridge,53.7,69.5,15.7,23900,44600,122400,176300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Redcar and Cleveland UA,59,71.9,13,18300,31000,67200,93400
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Richmond upon Thames,84.3,81.8,-2.5,21700,25700,112100,137000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Rochdale,41.1,60.2,19.1,17700,43000,75100,124700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Rotherham,44.7,66.2,21.5,22800,51000,101700,153700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Rutland UA,70.8,78.5,7.6,4100,5900,17000,21700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Salford,55.2,65.5,10.4,29500,53400,106300,162200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Sandwell,37.3,63.8,26.5,20000,53700,126800,198900
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Sefton,52.8,69.8,17,30300,57400,111900,160300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Sheffield,56.7,70.8,14.1,66400,117200,275100,388600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Shropshire,69.2,77.6,8.4,36800,53200,145400,187300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Slough,48.9,71.1,22.2,9700,19800,67300,94600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Solihull,70.2,73.9,3.7,24200,34400,93800,127000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Somerset,69.6,78.1,8.4,61100,87800,244500,313200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,South Gloucestershire UA,70.1,77.2,7.1,34300,48900,137000,177400
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,South Tyneside,61.9,74.4,12.5,21400,34600,80900,108600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Southampton,63.9,67.4,3.4,28600,44700,117600,174600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Southend-on-Sea UA,48.9,68.6,19.7,13300,27200,73200,106700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Southwark,47.7,71.4,23.7,22400,46900,157000,219800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,St. Helens,48.5,68.6,20.1,18000,37100,76400,111400
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Staffordshire,60,75.3,15.4,84600,141000,372000,493700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Stockport,61.9,79.5,17.7,32300,52200,150500,189200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Stockton-on-Tees UA,55.5,71.2,15.7,20500,36900,87600,123000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Stoke-on-Trent UA,44.3,68.1,23.8,23300,52600,105500,154900
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Suffolk,60.2,77.1,16.9,71700,119200,347700,450700
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Sunderland,43.8,67.5,23.8,28300,64600,120300,178300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Surrey,69.3,76,6.8,113500,163800,532800,701000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Sutton,80.5,84.6,4.2,24200,30100,113300,133800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Swindon UA,69.6,78.1,8.5,26900,38600,108200,138600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Tameside,58.6,67.5,8.9,29500,50400,94900,140500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Telford and Wrekin UA,51.4,70.2,18.8,18200,35400,83900,119500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Thurrock UA,63.9,71.6,7.7,21200,33100,83800,117100
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Torbay UA,55.2,67.9,12.7,15300,27800,57400,84500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Tower Hamlets,44.9,64.5,19.6,18800,41800,125100,193900
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Trafford,57.5,74.1,16.6,22600,39400,106900,144200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Wakefield,57,73,16,37400,65600,153900,210900
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Walsall,48.3,61.9,13.6,26900,55600,95200,153800
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Waltham Forest,55.3,69.5,14.2,22500,40600,107800,155000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Wandsworth,67.5,80.7,13.2,22300,33000,175300,217300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Warrington UA,68.2,78.4,10.2,21400,31400,89600,114200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Warwickshire,65.1,77.3,12.2,61500,94600,254700,329500
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,West Berkshire,71.6,84.5,13,15500,21700,82900,98100
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,West Sussex,64.3,78.2,13.9,83100,129200,374000,478100
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Westminster,46.7,67,20.3,24200,51800,129000,192600
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Wigan,55.6,71.2,15.5,31300,56200,139700,196200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Wiltshire,71.6,80.4,8.7,56800,79300,234800,292100
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Windsor and Maidenhead,70.1,77.5,7.4,14600,20800,82200,106100
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Wirral,57.7,74.3,16.6,39200,67900,142200,191300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Wokingham,79.3,79.2,-0.1,18900,23900,86300,109000
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Wolverhampton,55.1,65,9.9,25000,45500,97000,149300
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,Worcestershire,65.3,78.6,13.3,57700,88300,269600,343200
2014,1,01/01/2014 to 31/03/2014,2011 person level weights,Unitary authority / local area,York UA,62.8,74.3,11.5,25000,39800,110900,149300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Barking and Dagenham,49,67.7,18.7,14100,28700,72800,107500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Barnet,65.2,77.8,12.6,29900,45900,171300,220300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Barnsley,57.8,72.4,14.6,29100,50300,112900,156000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Bath and North East Somerset UA,67.1,78.4,11.2,19100,28400,96400,123100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Bedfordshire,65.7,77.8,12.1,54700,83200,215900,277300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Bexley,62.6,73.2,10.7,26700,42700,98100,134000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Birmingham,46.7,61.8,15.2,88900,190500,415000,670900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Blackburn with Darwen UA,47.7,60.9,13.2,16100,33600,51500,84700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Blackpool UA,44.9,63.1,18.2,12600,28000,51700,81800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Bolton,54.5,67.7,13.3,35100,64400,120600,178000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Bournemouth UA,64.4,78.5,14,16900,26200,82400,105100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Bracknell Forest UA,81.4,82,0.6,16500,20300,66800,81400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Bradford,58.5,66.4,7.9,55800,95400,218800,329400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Brent,47.9,67,19.1,16100,33700,121200,180900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Brighton and Hove,69.1,77.5,8.4,38300,55500,137400,177300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Bromley,63.8,74.5,10.7,30000,47000,148100,198800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Buckinghamshire,66.6,79.2,12.6,46700,70100,248600,313900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Bury,57.1,71.8,14.7,22200,38900,81600,113600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Calderdale,66.6,74.1,7.6,25700,38500,101200,136500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Cambridgeshire,69.4,79.1,9.8,70300,101300,323100,408300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Camden,53.7,66,12.2,23200,43200,100400,152200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Cheshire,58.5,73.9,15.4,69300,118500,314600,425800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,City of Bristol UA,54.8,70.1,15.3,46100,84200,233700,333400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,City of Kingston upon Hull UA,45.4,68.1,22.7,17900,39400,122300,179600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Cornwall and the Isles of Scilly,58.5,73.7,15.1,59400,101600,236100,320500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,County of Herefordshire UA,60.8,73.9,13.1,14200,23300,79900,108000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Coventry,43.5,65.4,22,19500,44800,121900,186300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Croydon,67.4,74.2,6.9,41100,61000,185200,249400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Cumbria,57,73.5,16.6,55800,97900,227800,309800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Darlington UA,64.5,71.6,7.1,15500,24100,47500,66400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Derby UA,55,67.3,12.3,32500,59000,119200,177200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Derbyshire,65.3,75.7,10.3,104100,159300,383800,507100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Devon,64.6,78.7,14.1,71100,110100,336900,428200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Doncaster,57.2,74.2,16.9,35100,61300,147300,198600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Dorset,67.4,76.6,9.3,46300,68700,179400,234100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Dudley,52.3,69,16.7,30900,59100,132600,192100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Durham,50.5,68.8,18.3,53500,106000,224700,326800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Ealing,52.3,65.7,13.4,27600,52600,144700,220100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,East Riding of Yorkshire UA,56.3,72.6,16.3,29800,52900,151300,208600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,East Sussex,64.6,75,10.4,56600,87700,225200,300400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Enfield,52.4,66.9,14.5,29800,56900,129000,193000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Essex,60.5,75.1,14.6,155800,257400,669900,891700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Gateshead,48.2,67.5,19.4,20000,41500,87500,129600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Gloucestershire,67.9,77.4,9.5,69900,103000,288200,372500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Greenwich,52.1,66.4,14.3,29100,55900,101600,153100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Hackney,53,71.9,18.9,18000,34000,116600,162200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Halton UA,42.1,69.8,27.7,7900,18700,49000,70200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Hammersmith and Fulham,77.3,79.4,2.1,13200,17000,104200,131100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Hampshire,72.6,79.9,7.3,163400,224900,650800,814100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Haringey,55.8,66.4,10.6,21700,39000,105000,158200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Harrow,57.1,71.4,14.3,19700,34500,114100,159900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Hartlepool UA,33.6,47.2,13.6,7800,23200,25700,54400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Havering,57.2,72.4,15.3,25900,45300,106300,146800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Hertfordshire,65.6,78.1,12.5,126000,192300,572300,733200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Hillingdon,57.6,71.7,14.1,24700,42800,138300,192800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Hounslow,61.3,73.2,12,20400,33200,121200,165500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Isle of Wight,55.9,71.1,15.2,13600,24400,57200,80400
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Islington,48.1,73.2,25.1,16600,34500,116400,159000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Kensington and Chelsea,49.4,70.1,20.7,11900,24100,74900,106900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Kent,59.4,74.1,14.7,173700,292300,674300,909800
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Kingston upon Thames,60.1,68.3,8.2,19000,31600,87900,128700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Kirklees,51.6,67,15.4,45800,88700,171800,256500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Knowsley,35.2,63.8,28.6,10000,28400,59400,93100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Lambeth,61.6,75.1,13.5,32400,52700,159100,211700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Lancashire,52.1,69.4,17.3,125800,241500,507100,730700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Leeds,54.5,69,14.5,85400,156500,378800,548600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Leicester UA,56.6,62.1,5.5,31400,55500,128200,206500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Leicestershire,66,76.7,10.7,71900,108900,300100,391100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Lewisham,67.4,74.7,7.2,24400,36100,140600,188300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Lincolnshire,63.6,76.8,13.2,93700,147200,340800,443700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Liverpool,38,63.4,25.4,34100,89900,182500,287900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Luton UA,61.6,74.4,12.8,16700,27100,94900,127500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Manchester,46,64.2,18.3,49300,107200,245600,382300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Medway UA,52.1,69.4,17.3,28100,53800,98800,142300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Merton,65.8,75.6,9.8,19500,29600,114300,151100
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Middlesbrough UA,41.8,62.5,20.7,10200,24400,58000,92900
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Milton Keynes,69.3,76.8,7.5,26300,37900,125900,164000
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Newcastle upon Tyne,51.5,59.6,8.1,29800,57800,117800,197700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Newham,55.4,67.2,11.8,17800,32100,112600,167600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Norfolk,58,73.9,15.9,94900,163800,407500,551700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,North East Lincolnshire UA,56.9,73.3,16.4,16500,29000,72200,98500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,North Lincolnshire UA,57.2,75.5,18.3,19100,33400,80500,106500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,North Somerset UA,61.1,71.6,10.5,25700,42100,101800,142200
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,North Tyneside,57.1,72.7,15.7,25700,45100,84600,116300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,North Yorkshire,62.8,76.9,14.1,70600,112400,282100,366700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Northamptonshire,61.8,76.9,15.1,73300,118500,341100,443500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Northumberland,57.4,74.5,17.1,33200,57800,149500,200600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Nottingham UA,50.2,61.1,10.9,33100,65900,127400,208300
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Nottinghamshire,56.4,70.1,13.7,88900,157400,337500,481500
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Oldham,48.4,63.8,15.4,19500,40300,94200,147600
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Oxfordshire,62.1,76.9,14.9,67500,108800,336700,437700
2013,4,01/10/2013 to 31/12/2013,2011 person level weights,Unitary authority / local area,Peterborough UA,67.5,77.6,10.1,19200,28400,85000,109600
